x,x,da4m,dl5,vm3,dl1,dc1,dm2,da3,dm3,vc3,da4l,vm2,dm3,va1v,va5,dm4,dl3,dm6,vc4,va6,dm5,vm5d,dl4,va1d,vm5v
class,odorant,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
5,b-citronellol,3,21,6,-10,18,25,-6,8,11,-13,7,-1,-6,-5,-2,-1,6,19,5,8,41,-5,7,50
5,linalool oxide,30,-14,79,1,91,25,8,17,-5,18,14,25,-9,-12,18,3,35,22,27,9,33,44,4,36
6,acetaldehyde,21,165,95,25,19,71,11,11,4,4,8,55,-38,-1,62,13,12,47,10,35,37,24,5,18,
6,propanal,18,-16,6,-1,-52,36,-5,3,-6,-31,15,12,-40,-8,12,-7,5,15,-15,15,52,8,-9,11
6,butanal,43,54,6,-2,-38,53,-6,0,65,-11,51,20,-26,-7,9,-4,62,21,7,5,53,18,-3,26
6,pentanal,22,171,24,6,-20,69,-5,3,82,-13,12,28,-22,-8,11,1,45,20,10,-2,54,26,-2,27
6,hexanal,19,177,34,28,-29,139,13,-10,185,-4,44,46,-21,-4,17,13,29,15,8,20,224,43,-9,29
6,E2-hexenal,17,221,38,-8,58,49,45,-8,227,41,84,37,18,6,3,-2,117,47,-6,11,145,35,-8,28
6,furfural,11,176,93,34,-22,29,18,28,176,-17,34,6,-19,-4,50,-1,182,36,39,-2,61,59,-12,33
6,2-propenal,14,31,3,-7,-12,32,-6,6,-9,-7,11,8,-16,-3,19,2,21,5,-5,19,36,2,4,22
7,acetone,1,-10,29,0,-25,38,-7,-10,8,-16,11,3,-6,-3,130,-7,27,-5,-4,-5,28,18,-9,-1
7,2-butanone,8,9,94,7,-16,84,3,7,13,-8,25,16,-15,3,144,-2,67,21,17,1,39,41,-14,4
7,2-pentanone,30,2,130,19,-1,148,13,10,112,12,75,74,-31,3,60,12,70,60,32,-8,115,52,-19,11
7,2-heptanone,39,-2,106,17,131,111,25,0,119,42,71,209,-10,21,25,35,170,36,32,33,190,40,19,189
7,6-methyl-5-hepten-2-one,46,-24,58,8,69,85,28,-11,-12,7,46,40,6,-5,0,49,234,16,61,-7,257,34,-15,232
7,2 3-butanedione,3,13,60,22,35,48,15,11,13,11,69,25,7,6,97,8,84,42,20,40,71,14,11,34
8,phenethyl alcohol,2,3,17,-16,14,46,-2,29,120,28,6,9,-20,45,2,-6,236,67,25,3,20,8,4,-8
8,benzyl alcohol,-4,5,30,-5,-9,40,-5,34,44,52,0,8,-21,111,14,-3,116,26,23,-4,19,25,1,1
8,methyl salicylate,5,-6,13,258,1,-2,-1,-7,2,20,12,-6,6,48,-4,-13,35,-2,-5,2,-8,5,-7,8
8,methyl benzoate,1,-27,43,265,-12,43,-6,-12,-14,-3,32,38,-4,19,-2,-2,208,10,31,4,29,46,-9,226
8,ethyl benzoate,1,-20,29,268,-6,49,-6,-3,-16,-26,6,27,-11,-6,-5,-6,198,-4,-4,-14,14,21,-5,273
8,phenethyl acetate,11,-13,18,-12,7,40,-4,0,-13,-12,2,24,-15,7,34,17,185,1,19,-8,28,7,-4,24
8,benzaldehyde,5,200,57,123,-15,32,-5,-5,83,36,12,22,-18,101,6,-10,200,6,-10,7,37,49,-3,30
8,phenylacetaldehyde,10,43,14,64,-30,44,1,7,-17,-6,8,27,-17,79,7,3,153,17,9,10,39,20,0,27
8,acetophenone,-3,10,62,254,5,32,-6,-16,10,37,10,38,-6,79,5,12,184,35,-16,-25,22,84,-12,29
8,ethylcinnamate,-4,-6,-2,-7,-21,12,-1,3,-10,-19,2,-1,-1,3,-2,2,75,-1,-1,-7,35,-11,4,7
8,2-methylphenol,-11,-27,36,-17,-16,9,-8,-16,-12,77,35,-11,-27,250,-7,-18,57,2,-14,-14,27,31,-14,-21
8,4-ethylguaiacol,-1,-10,14,2,-10,7,-9,-3,-3,-5,3,-2,-5,-2,6,-8,4,31,-7,-6,39,14,-1,1
8,eugenol,4,-10,10,64,-16,7,1,-6,-7,-14,10,0,-4,-6,21,-7,7,-3,-1,-4,34,12,-3,50
9,methanol,10,22,25,5,-16,55,-3,35,38,-2,14,13,-21,9,18,3,3,20,3,14,17,6,-8,5
9,ethanol,4,33,21,12,-12,55,6,36,34,-7,13,9,-22,1,13,2,4,26,16,17,27,2,-12,3
